idx,dataset_source,Type_1,Type_2,Type_5_1st,Type_5_3rd,sbert_cosine_hop_a,sbert_cosine_e2e,sbert_cosine_anchor,jaccard_e2e,rouge_l_e2e,meteor_e2e
2673,mrpc,Consumers would still have to get a descrambling security card from their cable operator to plug into the set .,Consumers would still have strong security for their card details with any operator.,Customers' payment information would remain highly protected by any service provider.,All service providers will safeguard customers' payment information.,0.5909028,0.5606192,0.3199106,0.0,0.0,0.0
3792,hlpc,Heartfelt condolences to the families and community in Tasmania .,Heartfelt condolences to the Tasmania community.,Deepest sympathy for Tasmanians.,Profound compassion for Tasmanians.,0.7901379,0.68898785,0.67281675,0.0,0.0,0.0
4938,paws,Parallel totally antisymmetric torsion .,Parallel axes avoid torsion.,Aligned axes prevent twisting.,Axial setup skips turning.,0.7248997,0.56232804,0.3736933,0.0,0.0,0.0
5401,paws,"The cylindrical spur is curved upwards and white , longer than the ovary .","The cylindrical spur, with its gentle curve, protruded distinctly.","A tubular outgrowth, softly arced, jutted out noticeably.","A smoothly bent, pipe-shaped projection visibly emerged.",0.6593933,0.5816308,0.42356455,0.0,0.0,0.0
8798,paws,An open sewer system replaced underground sewers in 1865 .,An open sewer system needs to be replaced.,An exposed waste system needs an overhaul.,Exposed plumbing demands substantial renovation.,0.67851245,0.6569952,0.41408533,0.0,0.0,0.06493506493506494
8819,paws,Existentialism says that existence precedes essence .,Existentialism : existence then essence.,Existentialism: Being determines essence.,Our being shapes our identity.,0.88937545,0.4735251,0.3732829,0.0,0.0,0.12195121951219512
8852,paws,"The vaults are Mesopotamian in design , and decorative elements appear in the Coptic and Byzantine carving .","The vaults are a marvel of design, with intricate carvings appearing on every element.",The wonderfully crafted vaults display intricate carvings on every single surface.,Finely crafted arches display detailed ornamentation across their entire area.,0.88499373,0.6798683,0.5216408,0.0,0.0,0.0
9822,paws,The new style was also promoted by changes in economic order and the social structure .,"The new style promotes a better order and structure, leading to positive change.","This updated method fosters improved organization, resulting in beneficial progress.","An updated plan enhances organization, which then drives meaningful progress.",0.6393872,0.50387514,0.2846161,0.0,0.0,0.0
10077,paws,This duty he discharged with great ability and considerable individuality of treatment .,This duty requires careful discharge based on individual ability.,"This task demands diligent execution, proportional to one's capability.","The position calls for diligent work, matching your capabilities.",0.56529623,0.41608256,0.2839657,0.0,0.0,0.0
11094,paws,The anal sinus is very shallow .,The sinus pressure was unbearable.,I had excruciating sinus pain.,My sinuses ached intensely.,0.75618136,0.837034,0.32903743,0.0,0.0,0.0
11223,paws,"He was born in France , and died in Great Britain .","He was a great bear of a man, hailing from Great Britain.","A powerfully built Briton, he had an imposing stature.",This strong Briton displayed an imposing physical demeanor.,0.7073056,0.61427206,0.32859683,0.0,0.0,0.0
14158,paws,The district 's linguistic composition is 94.94 % Swedish and 5.06 % Finnish .,"The district s demographic composition is quite varied, requiring tailored services.",The district's diverse population demands services specifically adapted to its needs.,Different people living here demand specialized support for their unique needs.,0.9198228,0.6650281,0.16856736,0.0,0.0,0.0
15186,paws,The canal is one of the oldest navigable canals in Belgium and indeed in Europe .,"The canal is a vital transport link in Belgium, connecting regions across Europe.","This Belgian waterway is a crucial transport artery, linking regions across the continent.","An important Belgian waterway supports shipping, joining different European locales.",0.782513,0.8032905,0.64328456,0.0,0.0,0.07874015748031496
